dataset,label,obj_id,n_points
NYC,NYC,5259507,706
NYC,NYC,5272650,655
NYC,NYC,5302945,821
NYC,NYC,5311012,1219
NYC,NYC,5332297,681
NYC,NYC,5332298,704
NYC,NYC,5332299,654
NYC,NYC,5349591,1182
NYC,NYC,5351420,661
NYC,NYC,5351423,667
NYC,NYC,5365327,745
NYC,NYC,5372745,779
NYC,NYC,5383661,667
NYC,NYC,5383662,642
NYC,NYC,5407207,670
NYC,NYC,5444516,641
NYC,NYC,5444517,731
NYC,NYC,5444518,642
NYC,NYC,5444521,653
NYC,NYC,5444522,694
NYC,NYC,5463621,837
NYC,NYC,5463623,828
NYC,NYC,5463628,643
NYC,NYC,5463629,744
NYC,NYC,5463667,680
NYC,NYC,5463668,818
NYC,NYC,5463670,686
NYC,NYC,5463672,688
NYC,NYC,5477475,673
NYC,NYC,5477478,808
NYC,NYC,5477485,686
NYC,NYC,5477486,1375
NYC,NYC,5477488,1028
NYC,NYC,5489993,996
NYC,NYC,5489996,1379
NYC,NYC,5489997,1483
NYC,NYC,5498996,660
NYC,NYC,5498999,1021
NYC,NYC,5503056,1792
NYC,NYC,5503064,766
NYC,NYC,5503068,654
NYC,NYC,5503119,667
NYC,NYC,5503164,695
NYC,NYC,5503179,830
NYC,NYC,5503180,709
NYC,NYC,5503184,680
NYC,NYC,5503190,1004
NYC,NYC,5503198,699
NYC,NYC,5503347,673
NYC,NYC,5503350,808
NYC,NYC,5503352,662
NYC,NYC,5503353,654
NYC,NYC,5503354,676
NYC,NYC,5503357,699
NYC,NYC,5503364,1170
NYC,NYC,5503370,690
NYC,NYC,5503372,676
NYC,NYC,5503375,1020
NYC,NYC,5503429,724
NYC,NYC,5503430,644
NYC,NYC,5511038,1082
NYC,NYC,5540705,692
NYC,NYC,5540706,713
NYC,NYC,5540714,750
NYC,NYC,5540715,661
NYC,NYC,5540716,642
NYC,NYC,5540730,694
NYC,NYC,5540786,647
NYC,NYC,5540790,654
NYC,NYC,5540791,691
NYC,NYC,5540812,661
NYC,NYC,5540825,663
NYC,NYC,5540826,674
NYC,NYC,5540828,657
NYC,NYC,5540829,699
NYC,NYC,5540830,659
NYC,NYC,5540832,668
NYC,NYC,5540833,707
NYC,NYC,5540834,760
NYC,NYC,5540835,660
NYC,NYC,5540844,1194
NYC,NYC,5540845,664
NYC,NYC,5540846,644
NYC,NYC,5540850,794
NYC,NYC,5545570,1532
NYC,NYC,5545571,841
NYC,NYC,5547012,679
NYC,NYC,5547013,1225
NYC,NYC,5547017,1277
NYC,NYC,5547021,676
NYC,NYC,5554166,677
NYC,NYC,5554170,1105
NYC,NYC,5565246,662
NYC,NYC,5565249,878
NYC,NYC,5565250,706
NYC,NYC,5565254,672
NYC,NYC,5571540,1553
NYC,NYC,5602333,1085
NYC,NYC,5602358,1085
NYC,NYC,5602366,873
NYC,NYC,5608564,648
NYC,NYC,5608570,650
NYC,NYC,5615840,917
NYC,NYC,5615842,644
NYC,NYC,5615871,747
NYC,NYC,5615874,702
NYC,NYC,5615893,686
NYC,NYC,5615898,711
NYC,NYC,5615901,649
NYC,NYC,5615903,690
NYC,NYC,5615904,690
NYC,NYC,5615905,881
NYC,NYC,5615913,732
NYC,NYC,5615914,707
NYC,NYC,5615915,752
NYC,NYC,5615934,673
NYC,NYC,5615935,648
