dataset,obj_id,lat,lon
NYC,5875173,40.756430262962965,-73.9922722611111
NYC,5875173,40.75619603354431,-73.99168986772152
NYC,5882173,40.7281651,-73.99921508227848
NYC,5882173,40.72665575333333,-73.99615164166666
NYC,5882173,40.725298236842114,-73.99252120526313
NYC,5882173,40.72507202499999,-73.99233673999997
NYC,5882173,40.720865301999986,-73.993698724
NYC,5882173,40.72047581066667,-73.993976648
NYC,5882173,40.71877968999999,-73.98917908599998
NYC,5969330,40.74542814436619,-73.97166764507044
NYC,5969330,40.747154286,-73.97572215
NYC,5969330,40.747455128070186,-73.97626748508772
NYC,5969330,40.748241609302326,-73.97799056046512
NYC,5969330,40.74885722682927,-73.97950742682926
NYC,5969331,40.74990726029415,-73.98976846911762
NYC,5969331,40.75005570652173,-73.99020452173913
NYC,5969331,40.750290523529415,-73.99044750117648
NYC,5969331,40.750465909090906,-73.99081128961039
NYC,5969331,40.74916253749999,-73.99154527291667
NYC,5969362,40.76804543658537,-73.98608196097558
NYC,5969362,40.76629944477612,-73.98217901343283
NYC,5969362,40.76584193953488,-73.9811688488372
NYC,5969362,40.76261197,-73.9732787825
NYC,5969362,40.76253786249999,-73.96938518124999
NYC,6058407,40.7318125764045,-73.99360955955052
NYC,6058407,40.73221636976744,-73.99441739534882
NYC,6058407,40.73420661354165,-73.99901106666667
NYC,6058407,40.73476279411765,-73.99878365294116
NYC,6058407,40.73923909090908,-73.99903823181818
NYC,6058407,40.745320441176474,-74.0081939764706
NYC,6058407,40.746736428125004,-74.007905103125
NYC,6062407,40.72314194204546,-73.98236694318179
NYC,6062407,40.726339495454546,-73.97712945681819
NYC,6062407,40.728255596874995,-73.9757926
NYC,6062407,40.72938739285713,-73.97779260476189
NYC,6062407,40.731274574193556,-73.98235538225806
NYC,6062407,40.73230016153846,-73.98473504615382
NYC,6109129,40.79617304195804,-73.96516461748251
NYC,6109129,40.78801074821429,-73.95604933035715
NYC,6109129,40.787376980000005,-73.95617617500002
NYC,6148097,40.75755159307229,-73.99837279638554
NYC,6148097,40.75560744193548,-73.99473859677418
NYC,6148097,40.75517946923076,-74.00010875384616
NYC,6148097,40.755442529032265,-74.00095142903227
NYC,6148143,40.753775418032795,-73.97235306229506
NYC,6148143,40.758073544262295,-73.96910643114754
NYC,6148143,40.759657632558145,-73.96599791627904
NYC,6148143,40.75939984600001,-73.96553997600002
NYC,6148208,40.76574483902439,-73.95511729463414
NYC,6148208,40.763762711764706,-73.95594687058825
NYC,6148208,40.7616199,-73.95754236408447
NYC,6190357,40.73005173579547,-73.9857389602273
NYC,6190357,40.73032786749999,-73.98627196999999
NYC,6193396,40.74765502536231,-73.99382157173915
NYC,6193396,40.74751630987655,-73.99346541728396
NYC,6193396,40.74715924,-73.99289894285714
NYC,6193396,40.74669155384615,-73.99269436153844
NYC,6193396,40.7464321390625,-73.992142834375
NYC,6193436,40.73019512751679,-73.99964234228187
NYC,6193436,40.730512234158404,-74.00015557277229
NYC,6193436,40.73081199137932,-74.00070768275862
NYC,6193436,40.73095888028171,-74.00111848028166
NYC,6193436,40.73120032894737,-74.00134897105262
NYC,6193436,40.73596079629629,-73.99790333703704
NYC,4209291,40.756009115217395,-73.98424666739132
NYC,4209291,40.75613531960785,-73.98467203137255
NYC,4209291,40.756280721253795,-73.98574241544341
NYC,4211305,40.74967647428572,-73.99608729714285
NYC,4211305,40.749503464102574,-73.99526837692306
NYC,4211305,40.749551777419356,-73.99488589139783
NYC,4211305,40.74922600625,-73.99479829999999
NYC,4211305,40.74912238043478,-73.99438402826085
NYC,4211305,40.74880362580646,-73.99238266906157
NYC,4211307,40.736101914705884,-74.00140457156863
NYC,4211307,40.729605018823534,-74.00514437588231
NYC,4211307,40.72899665472974,-74.00503121554053
NYC,4216938,40.72005585609755,-73.97496333658536
NYC,4216938,40.719912279999996,-73.97847452363635
NYC,4243685,40.76282404600001,-73.959852526
NYC,4243685,40.760750456578954,-73.95824337828947
NYC,4263246,40.74354945135135,-74.00347994594594
NYC,4263246,40.7446985442857,-74.00809305
NYC,4263246,40.726160894565226,-74.01110970652175
NYC,4286152,40.72811654864866,-74.00296646756757
NYC,4286152,40.72416238163265,-73.99287595510204
NYC,4286152,40.72878709542483,-73.97857215359475
NYC,4286152,40.729695085,-73.98069318499999
NYC,4304279,40.792081469230766,-73.96790488461541
NYC,4304279,40.79454833611111,-73.97150668611113
NYC,4304279,40.7951985172131,-73.97306322131149
NYC,4304279,40.835210221621615,-73.94390216486487
NYC,4304279,40.84011099722221,-73.94297287222223
NYC,4335161,40.72630383255814,-73.99165280930234
NYC,4335161,40.72826312268907,-73.99739227563025
NYC,4335315,40.728074787096766,-73.99685442688174
NYC,4335315,40.72622938787879,-73.99864913030304
NYC,4335315,40.72567216176471,-73.99695776176472
NYC,4335315,40.717658239583336,-73.98602631145835
NYC,4335315,40.70953744921875,-73.96079914531246
NYC,4341081,40.75693588939394,-73.99296468333334
NYC,4341081,40.76095083203884,-73.98663658349514
NYC,4341081,40.76085899756099,-73.9862457
NYC,4341081,40.76050975090909,-73.98555888363634
NYC,4341209,40.72873246153846,-74.00648254230768
NYC,4341209,40.730982430000005,-74.0047485075
NYC,4341209,40.73051719351852,-74.00254543472225
NYC,4341220,40.75093735192308,-73.98718624423077
NYC,4341220,40.75650981333333,-73.98273795166668
NYC,4341220,40.76150197741934,-73.97955332580645
NYC,4341220,40.76424619508195,-73.98074449672133
NYC,4341220,40.76199384857144,-73.98019654809525
NYC,4341351,40.740987592187516,-74.0050692296875
NYC,4341351,40.740431296739125,-74.00617216847823
NYC,4341351,40.74145800227273,-74.00709585
NYC,4341351,40.742044695454545,-74.00796814772725
