trajectory,eps_m,t_s,min_samples,n_points,step_n_stops,step_n_moves,step_mean_stop_s,step_mean_move_pts,step_wall_s,step_wall_p25_s,step_wall_p75_s,stss_n_stops,stss_n_moves,stss_mean_stop_s,stss_mean_move_pts,stss_wall_s,stss_wall_p25_s,stss_wall_p75_s,f1,precision,recall,matched_iou_mean
5286334,10.0,10.0,5,342,1,1,17.0,324.0,0.0015213,0.0015042,0.0015245999999999999,1,1,11.0,330.0,0.026933899999999997,0.026695549999999995,0.02717225,1.0,1.0,1.0,0.6470588235294118
5395622,10.0,10.0,5,231,3,3,21.0,55.0,0.0011745,0.0011515999999999998,0.0011871,3,3,22.0,54.0,0.0462914,0.0458046,0.0467782,1.0,1.0,1.0,0.9569444444444445
5538668,10.0,10.0,5,617,0,1,0.0,617.0,0.0024387,0.0023874,0.0025289,0,1,0.0,617.0,0.01066825,0.010405524999999999,0.010930975,nan,nan,nan,nan
5670672,10.0,10.0,5,264,5,4,38.0,17.25,0.0031362,0.003117,0.0032714000000000003,4,5,17.5,38.0,0.20579484999999997,0.199942625,0.211647075,0.6666666666666665,0.6,0.75,0.8238032498902065
5729758,10.0,10.0,5,253,4,4,15.25,47.0,0.0018354,0.0017273,0.0019325999999999998,6,6,14.5,26.666666666666668,0.10468385000000001,0.10212157499999999,0.107246125,0.8,1.0,0.6666666666666666,0.8258928571428572
5763820,10.0,10.0,5,989,5,4,125.8,88.75,0.0474935,0.045693,0.0492095,10,11,51.0,42.63636363636363,0.48708285,0.483302425,0.49086327500000004,0.4,0.6,0.3,0.6643574297188755
5917923,10.0,10.0,5,272,0,1,0.0,272.0,0.0016012,0.0015442000000000001,0.0016736,3,4,15.0,56.0,0.07247270000000001,0.07240790000000001,0.0725375,0.0,0.0,0.0,0.0
5936666,10.0,10.0,5,602,6,7,20.0,68.0,0.0040904999999999995,0.0039277,0.0041343000000000005,8,9,15.0,52.666666666666664,0.19891815000000002,0.19881837500000002,0.19901792499999998,0.5714285714285715,0.6666666666666666,0.5,0.791567374207633
6014730,10.0,10.0,5,219,2,2,15.0,93.5,0.0009735,0.0009674999999999999,0.0009781000000000002,2,2,16.0,92.5,0.03279945000000001,0.032740225000000005,0.032858675,1.0,1.0,1.0,0.9375
6051512,10.0,10.0,5,601,4,5,20.25,103.2,0.0033336999999999998,0.0032496,0.0033425,6,7,13.833333333333334,73.14285714285714,0.1480765,0.14716864999999998,0.14898435000000002,0.6,0.75,0.5,0.778766769865841
6053686,10.0,10.0,5,602,6,7,16.166666666666668,71.28571428571429,0.0034896,0.0032299,0.0035614,9,10,14.88888888888889,45.9,0.1500428,0.14905450000000003,0.1510311,0.8,1.0,0.6666666666666666,0.8619797041623668
6171971,10.0,10.0,5,372,3,2,25.666666666666668,146.0,0.002187,0.0019662,0.0023775,2,3,11.5,115.66666666666667,0.08132825,0.080918425,0.081738075,0.0,0.0,0.0,0.0
6172561,10.0,10.0,5,239,4,3,20.25,51.333333333333336,0.0015242,0.0015184,0.0015262000000000001,5,4,17.2,37.0,0.0854933,0.0850895,0.0858971,0.888888888888889,1.0,0.8,0.8091422466422467
6357847,10.0,10.0,5,716,10,10,42.4,28.2,0.0078251,0.007804699999999999,0.008233899999999999,5,6,12.0,108.5,0.29987,0.2998541,0.2998859,0.13333333333333333,0.1,0.2,0.9375
6358495,10.0,10.0,5,308,3,2,24.0,116.5,0.0015942999999999999,0.0015733,0.00185,2,2,16.5,136.5,0.0644385,0.06385289999999999,0.0650241,0.4,0.3333333333333333,0.5,0.95
6422329,10.0,10.0,5,269,2,2,14.5,119.0,0.0015724,0.0015401,0.0018197999999999999,5,5,15.2,37.6,0.1263301,0.1245502,0.12811,0.5714285714285715,1.0,0.4,1.0
6547817,10.0,10.0,5,320,5,5,19.6,43.4,0.0020078,0.0019931999999999997,0.0020574,8,7,13.75,28.857142857142858,0.11173325,0.11115927499999999,0.11230722500000001,0.4615384615384615,0.6,0.375,0.8739594083247334
6547822,10.0,10.0,5,341,6,6,32.833333333333336,23.0,0.0028907,0.0028609,0.003127,9,9,19.0,17.88888888888889,0.18621039999999997,0.18204515,0.19037565,0.6666666666666667,0.8333333333333334,0.5555555555555556,0.7091313621046961
6756778,10.0,10.0,5,498,6,6,31.0,51.0,0.0043021000000000005,0.0041335,0.0043542,8,7,13.875,54.142857142857146,0.23281075000000004,0.229746325,0.23587517500000002,0.14285714285714288,0.16666666666666666,0.125,0.9130434782608695
6896919,10.0,10.0,5,619,4,5,30.5,98.6,0.0036879,0.0036655999999999998,0.0041038,6,7,17.333333333333332,72.71428571428571,0.12377924999999998,0.12318962499999998,0.124368875,0.4,0.5,0.3333333333333333,0.8098471986417657
6920600,10.0,10.0,5,225,1,2,15.0,104.5,0.0016695,0.0015741,0.0018059000000000003,1,2,16.0,104.0,0.02598865,0.025885425,0.026091874999999997,1.0,1.0,1.0,0.9375
6922501,10.0,10.0,5,273,4,3,25.0,56.333333333333336,0.0015697999999999999,0.0015676,0.0017172,5,5,17.4,36.2,0.08038765,0.07993997500000001,0.080835325,0.888888888888889,1.0,0.8,0.7367724867724867
6922622,10.0,10.0,5,453,4,4,31.5,80.75,0.003197,0.0029334,0.0035147,7,7,14.142857142857142,49.57142857142857,0.1364119,0.13473055,0.13809325,0.5454545454545454,0.75,0.42857142857142855,0.834920634920635
6941418,10.0,10.0,5,282,3,3,25.0,68.0,0.0018087,0.0017356000000000001,0.0019759,3,3,22.0,71.0,0.07768195000000001,0.077143525,0.078220375,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8974358974358974
6984632,10.0,10.0,5,617,3,4,22.0,137.0,0.0030640999999999997,0.0029169,0.0035486,3,4,16.333333333333332,141.25,0.06272005,0.06266917500000001,0.06277092499999999,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8809523809523809
7555066,10.0,10.0,5,339,4,4,13.0,70.75,0.0016882000000000004,0.0016836,0.0018727000000000001,4,5,13.5,56.2,0.07483855,0.074763325,0.074913775,0.75,0.75,0.75,0.8804639804639804
7557391,10.0,10.0,5,302,2,2,12.5,137.5,0.0012047,0.0012044,0.0012272000000000001,3,3,12.666666666666666,87.0,0.0310984,0.030938049999999998,0.03125875,0.8,1.0,0.6666666666666666,0.9230769230769231
7563440,10.0,10.0,5,591,4,4,19.25,127.5,0.0030449,0.0030317,0.0031429,10,10,13.6,44.5,0.11496154999999998,0.114112875,0.11581022499999999,0.5714285714285715,1.0,0.4,0.8711180124223602
