trajectory,eps_m,t_s,min_samples,n_points,step_n_stops,step_n_moves,step_mean_stop_s,step_mean_move_pts,step_wall_s,step_wall_p25_s,step_wall_p75_s,stss_n_stops,stss_n_moves,stss_mean_stop_s,stss_mean_move_pts,stss_wall_s,stss_wall_p25_s,stss_wall_p75_s,f1,precision,recall,matched_iou_mean
4443744,15.0,10.0,5,710,7,8,48.714285714285715,45.25,0.0066051999999999994,0.0065115,0.006657400000000001,11,12,15.636363636363637,43.916666666666664,0.29731290000000005,0.28894515000000004,0.30568065,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.6521739130434783
4448887,15.0,10.0,5,666,9,7,44.888888888888886,36.142857142857146,0.014839799999999998,0.0137334,0.0148493,10,10,16.0,49.6,0.37177355,0.365723075,0.377824025,0.2105263157894737,0.2222222222222222,0.2,0.8
4469551,15.0,10.0,5,670,7,7,38.142857142857146,56.57142857142857,0.0127162,0.0118271,0.0130427,11,9,17.09090909090909,52.333333333333336,0.37058555,0.36691537500000004,0.374255725,0.2222222222222222,0.2857142857142857,0.18181818181818182,0.5533333333333333
4472905,15.0,10.0,5,816,8,9,61.5,35.111111111111114,0.0196736,0.0156987,0.026305099999999998,11,12,32.90909090909091,36.916666666666664,0.42672025,0.42128442499999996,0.43215607500000003,0.631578947368421,0.75,0.5454545454545454,0.785346109253918
4473229,15.0,10.0,5,673,6,6,44.833333333333336,66.33333333333333,0.010141,0.0099576,0.011145000000000002,4,5,24.0,114.6,0.24322374999999996,0.24313617499999998,0.243311325,0.2,0.16666666666666666,0.25,0.84
4481970,15.0,10.0,5,642,10,11,31.3,29.0,0.0058405,0.005764399999999999,0.0058731,8,8,17.625,61.625,0.3479572,0.34634435,0.34957005,0.33333333333333326,0.3,0.375,0.7586575133485889
4482888,15.0,10.0,5,647,1,1,28.0,618.0,0.0032029000000000003,0.0030959,0.0035876999999999997,2,3,12.5,206.66666666666666,0.046297850000000015,0.04465332500000001,0.04794237500000001,0.0,0.0,0.0,0.0
4487550,15.0,10.0,5,653,10,10,30.2,34.1,0.0118728,0.010327600000000001,0.011906899999999998,11,10,19.454545454545453,42.8,0.32041359999999997,0.31560160000000004,0.3252256,0.6666666666666666,0.7,0.6363636363636364,0.7732011685793198
4487946,15.0,10.0,5,710,2,3,256.5,65.0,0.0766347,0.0726797,0.0770367,3,4,154.0,61.25,0.47178844999999997,0.467556225,0.476020675,0.8,1.0,0.6666666666666666,0.8940537989617745
4504164,15.0,10.0,5,649,9,8,46.44444444444444,27.75,0.012431900000000001,0.012412,0.0124716,9,10,15.222222222222221,50.3,0.37826725000000005,0.377391325,0.37914317500000005,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6413043478260869
4527487,15.0,10.0,5,671,1,1,643.0,27.0,0.0279286,0.0258915,0.0282714,10,11,12.6,48.63636363636363,0.56095965,0.5605094750000001,0.5614098249999999,0.0,0.0,0.0,0.0
4544584,15.0,10.0,5,672,10,11,34.4,28.90909090909091,0.0099355,0.0097176,0.0122228,9,10,19.444444444444443,48.8,0.3555428,0.3552009,0.35588469999999994,0.4210526315789474,0.4,0.4444444444444444,0.6918715102256583
4547202,15.0,10.0,5,696,9,9,55.22222222222222,21.11111111111111,0.0106184,0.0103378,0.010655600000000001,14,13,18.928571428571427,32.07692307692308,0.49266965,0.48327392500000005,0.5020653749999999,0.08695652173913043,0.1111111111111111,0.07142857142857142,0.52
4559519,15.0,10.0,5,991,10,10,75.3,22.8,0.0895626,0.0537998,0.0976953,11,10,47.36363636363637,45.9,0.67818315,0.6779933749999999,0.6783729249999999,0.47619047619047616,0.5,0.45454545454545453,0.7958263958263958
4575701,15.0,10.0,5,700,7,8,31.0,59.5,0.0049173,0.004797,0.0049281,5,6,16.0,102.5,0.25985605,0.246957025,0.27275507499999996,0.5,0.42857142857142855,0.6,0.7127102288392612
