gamma_mps,k,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,n_moves_mean,n_moves_median,n_moves_std,n_moves_min,n_moves_max,n_stops_mean,n_stops_median,n_stops_std,n_stops_min,n_stops_max,n_move_points_mean,n_move_points_median,n_move_points_std,n_move_points_min,n_move_points_max,n_move_keypoints_mean,n_move_keypoints_median,n_move_keypoints_std,n_move_keypoints_min,n_move_keypoints_max,move_cr_mean,move_cr_median,move_cr_std,move_cr_min,move_cr_max,move_retention_ratio_mean,move_retention_ratio_median,move_retention_ratio_std,move_retention_ratio_min,move_retention_ratio_max,e_match_rate_mean,e_match_rate_median,e_match_rate_std,e_match_rate_min,e_match_rate_max,v_match_rate_mean,v_match_rate_median,v_match_rate_std,v_match_rate_min,v_match_rate_max,move_latency_us_per_point_mean,move_latency_us_per_point_median,move_latency_us_per_point_std,move_latency_us_per_point_min,move_latency_us_per_point_max,passes_retention_floor
3.0,3,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,68.81,61.0,41.03477091738693,2.0,228.0,20.833073209028917,20.12216887590022,5.4977785508274115,8.181818181818182,34.6875,0.160394485927045,0.14817092114120023,0.06191719023115478,0.04878048780487805,0.38,0.0141033110379646,0.0,0.022971689208474654,0.0,0.11538461538461539,0.6905811290375727,0.75,0.24162652787692418,0.0,1.0,10.516726354681907,10.17548268238762,3.108272218871832,5.075518672199171,25.297560975609755,1
3.0,6,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,68.81,61.0,41.03477091738693,2.0,228.0,20.447775939891574,20.00928043918698,5.400622502620411,8.16326530612245,35.806451612903224,0.160394485927045,0.14817092114120023,0.06191719023115478,0.04878048780487805,0.38,0.001726182096936414,0.0,0.00671707017875423,0.0,0.045454545454545456,0.24039966421991268,0.20761494252873564,0.1470867640616437,0.0,0.64,9.669101299540838,8.81689121789671,2.883241636290079,6.1342803030303035,23.86279761904762,1
3.0,2,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,68.81,61.0,41.03477091738693,2.0,228.0,20.44808134034604,19.724422442244226,5.500291971765343,8.126410835214447,34.08,0.160394485927045,0.14817092114120023,0.06191719023115478,0.04878048780487805,0.38,0.05349662575835367,0.035098522167487683,0.07134403575108315,0.0,0.45454545454545453,0.8800714151832573,0.9198717948717949,0.1985963179118318,0.0,1.0,10.920879352393623,10.249394637534524,3.1621511329849525,5.633057851239669,28.685365853658535,1
3.0,7,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,68.81,61.0,41.03477091738693,2.0,228.0,19.925465562483698,19.31549707602339,5.4021947304179285,8.108108108108109,35.806451612903224,0.160394485927045,0.14817092114120023,0.06191719023115478,0.04878048780487805,0.38,0.00040902061273294295,0.0,0.002160073960618381,0.0,0.01694915254237288,0.15566658363371058,0.12771739130434784,0.12577932376147213,0.0,0.47058823529411764,9.197042902498152,8.241638910658308,3.087262870589672,5.987082405345211,25.992682926829268,1
3.0,8,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,68.81,61.0,41.03477091738693,2.0,228.0,19.17599953001893,18.80320366132723,4.9658489301722115,8.035714285714286,31.714285714285715,0.160394485927045,0.14817092114120023,0.06191719023115478,0.04878048780487805,0.38,0.0002769522361998851,0.0,0.0016072345870732426,0.0,0.011494252873563218,0.08214605136527588,0.05263157894736842,0.08405170759036217,0.0,0.45,8.830878044441418,7.983763471490291,2.5926188676348985,5.1021052631578945,19.65671641791045,1
3.0,9,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,68.81,61.0,41.03477091738693,2.0,228.0,18.64831264469742,18.236363636363635,4.940137488070168,7.964601769911504,31.714285714285715,0.160394485927045,0.14817092114120023,0.06191719023115478,0.04878048780487805,0.38,8.264462809917356e-05,0.0,0.0008264462809917355,0.0,0.008264462809917356,0.04504627368773075,0.029437229437229435,0.05207485058977424,0.0,0.21739130434782608,8.77473045326351,8.036036494006849,2.947192140885484,4.680161943319838,24.463414634146343,1
3.0,10,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,68.81,61.0,41.03477091738693,2.0,228.0,18.203177774483077,17.94243561316732,4.8353500902816835,7.758620689655173,31.714285714285715,0.160394485927045,0.14817092114120023,0.06191719023115478,0.04878048780487805,0.38,8.264462809917356e-05,0.0,0.0008264462809917355,0.0,0.008264462809917356,0.024049794202626446,0.01668520578420467,0.03138282501251567,0.0,0.16666666666666666,8.656173529971143,8.07118643281366,2.7369275453320667,5.428759894459103,23.03170731707317,1
2.0,5,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,90.48,84.5,48.24086871254926,5.0,275.0,16.755314792270987,16.78235294117647,4.094685875212176,7.03125,30.070588235294117,0.21303903899908977,0.2022607447159064,0.07003632122337428,0.1,0.4583333333333333,0.005904252797533523,0.0,0.011641794020229876,0.0,0.05128205128205128,0.4493942786496487,0.45454545454545453,0.2160098148733469,0.0,0.9166666666666666,10.550217070678402,9.815458515283844,2.983737337259593,6.07465564738292,21.739939939939937,1
2.0,4,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,90.48,84.5,48.24086871254926,5.0,275.0,16.826137317035236,16.720015278838808,4.03144672384747,7.017543859649122,27.483870967741936,0.21303903899908977,0.2022607447159064,0.07003632122337428,0.1,0.4583333333333333,0.00980622628400182,0.0,0.022725393103769777,0.0,0.17647058823529413,0.5859693772936535,0.625,0.2443760937451657,0.0,1.0,10.639870809488139,10.09896701233409,2.852755677081987,5.989531680440771,22.39148936170213,1
2.0,3,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,90.48,84.5,48.24086871254926,5.0,275.0,16.784361886927844,16.64673913043478,4.024166966607724,7.017543859649122,28.4,0.21303903899908977,0.2022607447159064,0.07003632122337428,0.1,0.4583333333333333,0.01934074215998968,0.009540604087538433,0.02960764501566286,0.0,0.14545454545454545,0.7147542870470357,0.8090909090909091,0.2620285877321089,0.061224489795918366,1.0,10.763433692609103,10.332086414844268,2.6504883932611287,6.583241758241758,18.91058394160584,1
