trajectory,gamma_mps,k,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_retention_ratio,e_match_rate,v_match_rate,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
4216956,2.0,3,910,6,5,363,82,13.527950310559007,0.22589531680440772,0.01282051282051282,0.3225806451612903,6.963085399449035,nan,nan
4272243,2.0,3,646,2,1,600,275,7.017543859649122,0.4583333333333333,0.0,0.061224489795918366,7.536833333333334,nan,nan
4344977,2.0,3,1187,5,5,384,102,12.454054054054055,0.265625,0.0,0.8421052631578947,8.993229166666667,nan,nan
4350946,2.0,3,690,5,5,394,64,19.37704918032787,0.16243654822335024,0.0,0.8333333333333334,10.1248730964467,nan,nan
4351935,2.0,3,775,6,5,369,94,13.751552795031056,0.25474254742547425,0.010869565217391304,0.7333333333333333,9.850677506775067,nan,nan
4352377,2.0,3,716,5,4,428,91,16.675324675324674,0.21261682242990654,0.0,0.7857142857142857,10.442757009345794,nan,nan
4358853,2.0,3,666,4,3,528,95,22.0,0.17992424242424243,0.024390243902439025,0.9166666666666666,7.896969696969697,nan,nan
4359232,2.0,3,681,3,2,590,198,9.833333333333334,0.33559322033898303,0.0,0.09166666666666666,8.21728813559322,nan,nan
4370045,2.0,3,720,4,3,467,125,14.01,0.2676659528907923,0.0,1.0,9.645182012847966,nan,nan
4389353,2.0,3,650,5,4,462,126,13.45631067961165,0.2727272727272727,0.0,0.7,11.653679653679653,nan,nan
4389414,2.0,3,645,5,5,422,99,16.23076923076923,0.23459715639810427,0.010638297872340425,0.9166666666666666,15.588862559241706,nan,nan
4392729,2.0,3,652,4,3,478,109,15.933333333333334,0.2280334728033473,0.0,0.9333333333333333,12.278033472803347,nan,nan
4393045,2.0,3,936,4,3,438,88,18.638297872340427,0.2009132420091324,0.0125,0.8461538461538461,9.821232876712328,nan,nan
4440451,2.0,3,657,3,2,546,162,14.431718061674008,0.2967032967032967,0.044444444444444446,0.9444444444444444,11.221245421245422,nan,nan
4443744,2.0,3,710,7,6,399,126,11.4,0.3157894736842105,0.01680672268907563,0.8333333333333334,12.780451127819548,nan,nan
4448887,2.0,3,666,6,6,333,49,19.98,0.14714714714714713,0.1,1.0,17.615915915915917,nan,nan
4469551,2.0,3,670,4,3,512,120,18.618181818181817,0.234375,0.10256410256410256,1.0,10.225,nan,nan
4472905,2.0,3,816,4,3,463,104,16.24561403508772,0.22462203023758098,0.0,0.875,9.49719222462203,nan,nan
4473229,2.0,3,673,4,4,446,103,15.379310344827585,0.23094170403587444,0.0,0.875,11.619282511210763,nan,nan
4481970,2.0,3,642,3,2,494,81,23.338582677165356,0.16396761133603238,0.0,0.9,9.08481781376518,nan,nan
4482888,2.0,3,647,1,0,647,191,12.811881188118813,0.29520865533230295,0.0,0.3333333333333333,8.78516228748068,nan,nan
4487550,2.0,3,653,4,3,480,103,18.823529411764707,0.21458333333333332,0.03333333333333333,1.0,11.307083333333333,nan,nan
4487946,2.0,3,710,2,1,227,87,10.896,0.3832599118942731,0.14545454545454545,0.9090909090909091,13.458590308370043,nan,nan
4504164,2.0,3,649,5,5,364,77,17.19685039370079,0.21153846153846154,0.03508771929824561,0.9230769230769231,11.354120879120877,nan,nan
4527487,2.0,3,671,4,5,134,16,20.1,0.11940298507462686,0.0,0.16666666666666666,13.161194029850746,nan,nan
4544584,2.0,3,672,4,3,540,118,17.802197802197803,0.21851851851851853,0.0,1.0,15.980185185185183,nan,nan
4547202,2.0,3,696,5,4,436,71,20.123076923076923,0.1628440366972477,0.014705882352941176,0.6428571428571429,11.435550458715596,nan,nan
4559519,2.0,3,991,6,5,358,79,15.453237410071942,0.2206703910614525,0.07692307692307693,0.7692307692307693,14.490223463687151,nan,nan
4575701,2.0,3,700,2,1,657,254,9.363420427553445,0.3866057838660578,0.0,0.576271186440678,9.354033485540336,nan,nan
4579744,2.0,3,678,6,5,377,92,13.962962962962964,0.2440318302387268,0.03614457831325301,0.8666666666666667,10.96392572944297,nan,nan
4605892,2.0,3,678,2,3,41,5,13.666666666666666,0.12195121951219512,0.0,0.3333333333333333,18.700000000000003,nan,nan
4668185,2.0,3,641,7,6,372,99,13.207100591715976,0.2661290322580645,0.010638297872340425,0.8571428571428571,17.014516129032256,nan,nan
4705097,2.0,3,659,4,4,451,109,15.641618497109826,0.24168514412416853,0.0,1.0,13.131929046563194,nan,nan
4724133,2.0,3,650,4,4,454,90,15.655172413793103,0.19823788546255505,0.0,0.14583333333333334,9.709030837004404,nan,nan
4749525,2.0,3,805,3,2,526,85,23.729323308270676,0.16159695817490494,0.025,0.8181818181818182,10.665019011406844,nan,nan
4754626,2.0,3,1144,5,4,433,91,18.425531914893618,0.21016166281755197,0.02666666666666667,0.9166666666666666,8.533718244803694,nan,nan
4754956,2.0,3,647,5,4,419,113,13.66304347826087,0.26968973747016706,0.0,0.8666666666666667,10.981384248210023,nan,nan
4775763,2.0,3,718,6,5,449,98,16.035714285714285,0.2182628062360802,0.0,0.6875,12.36391982182628,nan,nan
4785421,2.0,3,773,4,4,460,74,22.4390243902439,0.1608695652173913,0.06349206349206349,0.8181818181818182,10.518695652173914,nan,nan
4789937,2.0,3,678,4,4,524,100,19.89873417721519,0.19083969465648856,0.010309278350515464,0.9166666666666666,11.69503816793893,nan,nan
4792515,2.0,3,705,7,6,236,35,17.7,0.1483050847457627,0.03571428571428571,0.6666666666666666,13.538135593220339,nan,nan
4811115,2.0,3,643,4,3,483,73,21.789473684210527,0.15113871635610765,0.0,0.7333333333333333,10.454865424430642,nan,nan
4824328,2.0,3,688,4,3,355,55,21.73469387755102,0.15492957746478872,0.061224489795918366,0.7777777777777778,8.199154929577464,nan,nan
4861227,2.0,3,710,7,6,240,41,15.319148936170214,0.17083333333333334,0.0,0.7,11.49875,nan,nan
4861687,2.0,3,746,8,7,302,83,11.921052631578947,0.27483443708609273,0.02702702702702703,0.7857142857142857,11.650993377483443,nan,nan
4862222,2.0,3,670,4,3,486,201,7.714285714285714,0.41358024691358025,0.0,0.125,9.894855967078188,nan,nan
4862380,2.0,3,660,3,2,522,107,18.75449101796407,0.2049808429118774,0.019417475728155338,0.8571428571428571,7.771072796934866,nan,nan
4865550,2.0,3,642,5,5,382,116,11.9375,0.3036649214659686,0.0,0.8823529411764706,10.62303664921466,nan,nan
4865558,2.0,3,649,5,4,503,177,11.261194029850746,0.3518886679920477,0.04054054054054054,0.9565217391304348,10.38230616302187,nan,nan
4912927,2.0,3,674,2,1,638,202,11.9625,0.3166144200626959,0.021621621621621623,0.18666666666666668,8.734012539184953,nan,nan
4915833,2.0,3,675,4,3,479,123,15.966666666666667,0.2567849686847599,0.00847457627118644,1.0,9.694572025052192,nan,nan
4940890,2.0,3,683,3,2,530,119,17.966101694915253,0.22452830188679246,0.008771929824561403,0.9230769230769231,10.00867924528302,nan,nan
5244934,2.0,3,656,6,6,274,38,18.896551724137932,0.1386861313868613,0.027777777777777776,0.6,18.91058394160584,nan,nan
