trajectory,strategy,capacity,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point,eviction_hit_rate
6984632,squish_dp,200,15.0,617,2,1,578,16,36.125,30.281719619862802,96.97952806039622,10.992387543252596,10.119896193771627,11.479757785467129,0.5
7555066,squish_dp,200,15.0,339,1,0,339,6,56.5,26.500719774521556,104.48490956439417,8.102654867256637,7.632448377581121,8.766666666666667,1.0
7557391,squish_dp,200,15.0,302,1,0,302,5,60.4,47.01615742368426,125.03640855839512,7.487417218543046,7.368874172185431,8.481456953642384,1.0
7563440,squish_dp,200,15.0,591,1,0,591,8,73.875,46.69512810292202,207.67378060366573,10.51522842639594,10.086294416243655,11.316412859560067,1.0
7564587,squish_dp,200,15.0,242,2,1,197,8,24.625,30.778468642093458,114.78538137322768,1.8761421319796956,1.8507614213197972,2.2228426395939085,0.0
7583768,squish_dp,200,15.0,236,2,2,164,10,16.4,20.542572389604803,109.64830180971572,2.6817073170731707,2.4048780487804877,2.696341463414634,0.0
7598344,squish_dp,200,15.0,219,1,0,219,3,73.0,33.11047614540647,95.20547527736721,5.668036529680365,5.344748858447488,6.021917808219178,1.0
7613495,squish_dp,200,15.0,612,1,0,612,14,43.714285714285715,17.886818133927537,88.58899777829781,11.12826797385621,10.164052287581699,11.984640522875818,1.0
7613518,squish_dp,200,15.0,285,2,2,214,8,26.75,58.05201735299453,167.49260080616625,1.7738317757009348,1.7121495327102803,1.8892523364485982,0.0
7613731,squish_dp,200,15.0,271,1,1,233,3,77.66666666666667,54.65014745266975,148.69177227400516,6.524463519313305,5.729184549356224,8.363090128755365,1.0
7691124,squish_dp,200,15.0,255,3,2,178,7,25.428571428571427,56.15331371997474,179.36551899962043,1.0325842696629215,1.0303370786516854,1.0348314606741573,0.0
7691163,squish_dp,200,15.0,301,2,1,267,7,38.142857142857146,62.79932861504515,195.16544382736996,4.660299625468165,4.457677902621723,5.5767790262172285,0.5
7691232,squish_dp,200,15.0,601,1,0,601,39,15.41025641025641,22.69059232971528,197.49521039771295,12.809151414309484,11.71098169717138,13.29450915141431,1.0
7691423,squish_dp,200,15.0,303,2,1,260,5,52.0,105.19744102014135,271.59827053567324,1.1123076923076922,1.1092307692307692,1.1215384615384616,0.0
7691435,squish_dp,200,15.0,343,1,0,343,6,57.166666666666664,37.08802221782432,170.75349813172295,8.552186588921282,8.548104956268222,9.033527696793003,1.0
7691520,squish_dp,200,15.0,608,2,1,552,7,78.85714285714286,98.32721774681941,262.89461480329595,6.4855072463768115,6.158152173913043,6.646920289855072,0.5
7691542,squish_dp,200,15.0,368,2,1,306,7,43.714285714285715,25.493577415889064,76.05796987356985,1.4777777777777776,1.4620915032679738,1.5218954248366012,0.0
7691885,squish_dp,200,15.0,251,2,1,208,5,41.6,38.194551489134966,117.39389231355644,0.9317307692307693,0.9312499999999999,0.9379807692307692,0.0
7691909,squish_dp,200,15.0,624,2,1,586,17,34.470588235294116,26.244246084917975,146.01966595615215,9.465870307167236,9.355631399317405,10.083788395904438,0.5
7795968,squish_dp,200,15.0,252,1,1,195,3,65.0,43.038963592593,118.98250970108695,1.3666666666666667,1.3656410256410256,1.3758974358974358,0.0
7797310,squish_dp,200,15.0,601,1,0,601,38,15.81578947368421,12.941389580100074,81.64603739290455,11.092845257903495,10.843760399334442,11.571048252911813,1.0
7799046,squish_dp,200,15.0,454,1,0,454,6,75.66666666666667,93.94888612407682,275.12236119508964,10.101762114537445,9.229515418502203,10.591189427312775,1.0
7799135,squish_dp,200,15.0,329,1,0,329,4,82.25,48.25226060458388,148.05909448897148,8.448328267477203,7.717325227963526,8.759574468085107,1.0
7799180,squish_dp,200,15.0,645,4,3,515,13,39.61538461538461,28.971054987117142,139.18057382911365,4.5535922330097085,4.5135922330097085,5.534951456310679,0.25
7799209,squish_dp,200,15.0,525,1,0,525,7,75.0,47.54582658738356,200.17215961929185,10.297714285714287,9.847238095238096,13.725523809523809,1.0
7799211,squish_dp,200,15.0,232,3,2,155,8,19.375,19.047092668520094,52.394357484078775,1.1419354838709677,1.1361290322580644,1.3174193548387096,0.0
7799420,squish_dp,200,15.0,317,1,1,286,5,57.2,46.326220360531025,166.88272366593026,8.126923076923077,7.754545454545455,8.375174825174826,1.0
7799507,squish_dp,200,15.0,310,3,2,196,8,24.5,34.09336810196519,117.1581313437696,1.6198979591836735,1.5887755102040815,1.9928571428571429,0.0
7852277,squish_dp,200,15.0,247,1,1,202,3,67.33333333333333,77.0648730983293,202.3486988338142,4.857920792079208,4.848514851485149,6.161386138613861,1.0
7852403,squish_dp,200,15.0,290,1,0,290,3,96.66666666666667,74.92876147613612,175.9205959287045,6.863793103448276,6.591379310344828,7.026551724137931,1.0
7852411,squish_dp,200,15.0,607,3,2,521,18,28.944444444444443,30.70125692981712,131.79699417302797,5.904222648752399,5.835316698656429,6.065642994241842,0.3333333333333333
7852420,squish_dp,200,15.0,606,2,1,562,11,51.09090909090909,30.384915996054144,139.11668207549516,7.329893238434163,7.089145907473309,8.243594306049822,1.0
7852422,squish_dp,200,15.0,216,1,0,216,3,72.0,53.87426809600121,150.13527464917934,5.476851851851852,4.962037037037037,5.486574074074074,1.0
