strategy,capacity,dp_epsilon_m,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,n_moves_mean,n_moves_median,n_moves_std,n_moves_min,n_moves_max,n_stops_mean,n_stops_median,n_stops_std,n_stops_min,n_stops_max,n_move_points_mean,n_move_points_median,n_move_points_std,n_move_points_min,n_move_points_max,n_move_keypoints_mean,n_move_keypoints_median,n_move_keypoints_std,n_move_keypoints_min,n_move_keypoints_max,move_cr_mean,move_cr_median,move_cr_std,move_cr_min,move_cr_max,move_mean_sed_m_mean,move_mean_sed_m_median,move_mean_sed_m_std,move_mean_sed_m_min,move_mean_sed_m_max,move_max_sed_m_mean,move_max_sed_m_median,move_max_sed_m_std,move_max_sed_m_min,move_max_sed_m_max,move_latency_us_per_point_mean,move_latency_us_per_point_median,move_latency_us_per_point_std,move_latency_us_per_point_min,move_latency_us_per_point_max,eviction_hit_rate_mean,eviction_hit_rate_median,eviction_hit_rate_std,eviction_hit_rate_min,eviction_hit_rate_max,passes_sed_budget
squish_dp,100,30.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,8.88,7.0,5.635887891293822,2.0,27.0,54.99319424834998,43.714285714285715,32.73157278917581,16.4,228.5,45.96236396818373,38.700140854229645,26.278965150890894,8.889111409949553,190.09758274557723,150.4580407043003,136.39250721694256,63.13799077904172,30.045325880476458,372.391474339163,9.75392120795167,9.730254723346828,3.448227163522252,0.6681818181818182,17.0975,0.7645952380952381,1.0,0.3185895599401825,0.0,1.0,0
squish_dp,200,30.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,8.83,7.0,5.563326887807875,2.0,25.0,55.136943241562356,43.714285714285715,32.68113274808609,16.4,228.5,45.93154405709781,39.1449890833741,26.2962231024663,8.889111409949553,190.09758274557723,150.59620448009028,135.9268193923416,63.081355246938145,30.045325880476458,372.391474339163,6.113065974531177,6.459212938529484,3.427250488460453,0.6117241379310345,11.872712418300654,0.6181666666666666,1.0,0.432757290006618,0.0,1.0,0
squish_dp,500,30.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,8.84,7.0,5.58988986357233,2.0,25.0,55.14742170264376,43.714285714285715,32.70635445859019,16.4,228.5,45.918571866987065,38.98777698704466,26.30521657535516,8.889111409949553,190.09758274557723,150.6748114781631,135.9268193923416,63.07972731120952,30.045325880476458,372.391474339163,2.8670366040002606,1.8313318376109704,2.9014365320162514,0.6435448577680526,12.226166666666666,0.145,0.0,0.3502884814007166,0.0,1.0,0
squish_dp,1000,30.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,8.84,7.0,5.58988986357233,2.0,25.0,55.14742170264376,43.714285714285715,32.70635445859019,16.4,228.5,45.918481891476816,38.98777698704466,26.30528276338985,8.889111409949553,190.09758274557723,150.6748114781631,135.9268193923416,63.07972731120952,30.045325880476458,372.391474339163,1.9742342739731131,1.7546682732199919,1.0192099723097776,0.6105747126436782,4.849247311827957,0.0,0.0,0.0,0.0,0.0,0
squish_dp,2000,30.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,8.84,7.0,5.58988986357233,2.0,25.0,55.14742170264376,43.714285714285715,32.70635445859019,16.4,228.5,45.918481891476816,38.98777698704466,26.30528276338985,8.889111409949553,190.09758274557723,150.6748114781631,135.9268193923416,63.07972731120952,30.045325880476458,372.391474339163,2.2046742974272266,2.018218992903008,1.1870451564991922,0.6644736842105263,6.419633943427621,0.0,0.0,0.0,0.0,0.0,0
squish_dp,4000,30.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,8.84,7.0,5.58988986357233,2.0,25.0,55.14742170264376,43.714285714285715,32.70635445859019,16.4,228.5,45.918481891476816,38.98777698704466,26.30528276338985,8.889111409949553,190.09758274557723,150.6748114781631,135.9268193923416,63.07972731120952,30.045325880476458,372.391474339163,1.945302534037253,1.7480565823665044,0.9479185491554183,0.6251336898395722,4.208803986710963,0.0,0.0,0.0,0.0,0.0,0
pure_dp,0,20.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,9.96,7.0,6.909106858035818,2.0,30.0,51.582628763168316,42.88690476190476,32.61072163042035,16.4,228.5,43.66394295411371,36.743489347515414,26.295409048392795,8.889111409949553,190.09758274557723,146.0886687529434,134.75724172238512,62.308051197884396,30.045325880476458,372.391474339163,2.020810962397324,1.8651988483872541,0.9682751865374761,0.5954545454545455,4.949003322259136,nan,nan,nan,nan,nan,0
squish_dp,500,20.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,9.96,7.0,6.909106858035818,2.0,30.0,51.582628763168316,42.88690476190476,32.61072163042035,16.4,228.5,43.665119805203034,36.743489347515414,26.295551572303157,8.889111409949553,190.09758274557723,146.0886687529434,134.75724172238512,62.308051197884396,30.045325880476458,372.391474339163,3.2294301131817273,2.0271091445427727,3.136746980066448,0.6696969696969698,13.976871880199667,0.145,0.0,0.3502884814007166,0.0,1.0,0
squish_dp,1000,20.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,9.96,7.0,6.909106858035818,2.0,30.0,51.582628763168316,42.88690476190476,32.61072163042035,16.4,228.5,43.66394295411371,36.743489347515414,26.295409048392795,8.889111409949553,190.09758274557723,146.0886687529434,134.75724172238512,62.308051197884396,30.045325880476458,372.391474339163,2.100309408792701,1.84636445668693,1.0644984043831185,0.6551422319474836,5.084602076124567,0.0,0.0,0.0,0.0,0.0,0
squish_dp,2000,20.0,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,9.96,7.0,6.909106858035818,2.0,30.0,51.582628763168316,42.88690476190476,32.61072163042035,16.4,228.5,43.66394295411371,36.743489347515414,26.295409048392795,8.889111409949553,190.09758274557723,146.0886687529434,134.75724172238512,62.308051197884396,30.045325880476458,372.391474339163,2.2428145238531254,1.9080736342885527,1.273563444272042,0.6089108910891089,8.191085899513777,0.0,0.0,0.0,0.0,0.0,0
