trajectory,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
5729758,6.0,253,1,0,253,13,19.46153846153846,10.995627238231023,83.76956809340213,6.568379446640316,6.423320158102767,6.691699604743083
5763820,6.0,989,3,4,447,21,21.285714285714285,31.605487143728237,127.37191383927491,2.48255033557047,2.4214765100671145,2.9957494407158833
5917923,6.0,272,1,0,272,28,9.714285714285714,4.289882353182447,16.448315214076732,4.645588235294118,4.611397058823529,5.4698529411764705
5936666,6.0,602,3,2,536,15,35.733333333333334,22.88837289944735,95.56885005078354,2.144402985074627,2.138805970149254,2.1776119402985077
6014730,6.0,219,1,0,219,3,73.0,67.6696656311852,151.94915730731535,1.6662100456621003,1.6187214611872147,1.6748858447488586
6051512,6.0,601,2,1,565,30,18.833333333333332,55.456512084359765,269.14302447311917,3.0741592920353984,2.7561061946902656,3.392920353982301
6053686,6.0,602,1,0,602,38,15.842105263157896,27.681521562708163,191.55424403598548,5.009468438538206,4.613621262458472,5.2161129568106315
6171971,6.0,372,2,1,333,24,13.875,17.833625742480418,120.62100583798441,3.6579579579579575,3.626726726726727,3.6939939939939936
6172561,6.0,239,2,2,173,7,24.714285714285715,32.3532200111044,106.22054390010531,1.5988439306358382,1.5976878612716763,1.601734104046243
6357847,6.0,716,7,6,442,20,22.1,44.91195553136232,247.3345416642329,3.1368778280542986,2.7782805429864252,3.1423076923076927
6358495,6.0,308,2,1,263,6,43.833333333333336,83.63371182701239,204.00994688627952,1.3136882129277567,1.3102661596958176,1.3140684410646388
6422329,6.0,269,2,1,237,7,33.857142857142854,18.8872633565574,88.70006067683103,1.8696202531645572,1.8561181434599154,1.930801687763713
6547817,6.0,320,1,1,287,5,57.4,22.878504619038356,80.72355288669036,2.286062717770035,2.2822299651567945,2.3435540069686414
6547822,6.0,341,5,4,175,12,14.583333333333334,14.166840157299898,58.26667115666396,1.2154285714285713,1.1708571428571428,1.3302857142857143
6756778,6.0,498,4,4,352,8,44.0,57.411592491327546,178.49231284154746,0.7363636363636363,0.734375,0.7366477272727273
6896919,6.0,619,4,3,521,34,15.323529411764707,6.547087789143363,38.12412023490798,3.8335892514395393,3.772936660268714,4.520153550863723
6920600,6.0,225,1,0,225,5,45.0,30.772403983264162,98.9192726428137,2.176888888888889,2.172,2.228
6922501,6.0,273,3,3,175,8,21.875,20.465843601047414,100.14439005683815,1.4108571428571428,1.4108571428571428,1.4142857142857144
6922622,6.0,453,1,0,453,21,21.571428571428573,28.772513672828836,90.88361253120937,4.339735099337749,4.290286975717439,4.597130242825607
6941418,6.0,282,3,2,210,7,30.0,78.84161976078352,160.79967662204743,0.8114285714285715,0.8052380952380952,0.8195238095238095
6984632,6.0,617,2,1,576,30,19.2,19.555452301260672,75.1012537179376,4.429513888888889,4.373611111111111,4.472222222222222
7555066,6.0,339,1,0,339,8,42.375,22.675600634512517,109.90225982725616,3.350737463126844,2.8616519174041297,3.9283185840707966
7557391,6.0,302,1,0,302,7,43.142857142857146,40.96093499767856,125.03640855839512,2.495364238410596,2.4778145695364238,2.5165562913907285
7563440,6.0,591,1,0,591,11,53.72727272727273,45.312040642547224,207.67378060366573,3.065482233502538,3.049746192893401,3.1138747884940776
7564587,6.0,242,2,1,195,11,17.727272727272727,29.828469739848178,114.78538137322768,2.7671794871794875,2.2415384615384615,2.7707692307692304
7583768,6.0,236,2,1,200,13,15.384615384615385,22.113337641954548,109.64830180971572,2.616,2.6055,2.637
7598344,6.0,219,1,0,219,4,54.75,28.954409800632266,95.20547527736721,2.0191780821917806,1.9899543378995435,2.8493150684931505
7613495,6.0,612,2,1,574,23,24.956521739130434,16.565261786353304,94.1612989980847,3.968989547038327,3.8346689895470383,4.3287456445993024
7613518,6.0,285,3,3,178,11,16.181818181818183,27.744679766902046,101.51577038800006,1.804494382022472,1.803370786516854,2.9865168539325846
7613731,6.0,271,2,2,200,6,33.333333333333336,21.7449385057696,63.80701524143519,1.4825,1.472,1.4965000000000002
7691124,6.0,255,2,1,217,9,24.11111111111111,46.543477445937384,179.73081699918214,2.001382488479263,1.9986175115207372,2.0161290322580645
7691163,6.0,301,5,4,169,16,10.5625,17.44519181361326,66.95123421119109,2.591715976331361,2.131360946745562,2.7384615384615385
7691232,6.0,601,1,0,601,60,10.016666666666667,21.498187151779025,197.49521039771295,4.940931780366056,4.589351081530782,5.170881863560732
7691423,6.0,303,1,0,303,5,60.6,78.40656892710238,251.7016435138009,2.108250825082508,2.084818481848185,2.122772277227723
7691435,6.0,343,1,0,343,10,34.3,23.438985683125132,98.11266911117505,3.5291545189504374,3.5282798833819244,3.5784256559766767
7691520,6.0,608,4,3,511,11,46.45454545454545,97.68016779269122,273.2890509603233,1.2743639921722114,1.2694716242661448,1.290802348336595
7691542,6.0,368,2,1,332,12,27.666666666666668,21.904637494282696,73.47053266701127,2.155421686746988,2.152710843373494,2.156024096385542
7691885,6.0,251,1,0,251,6,41.833333333333336,57.14946952428924,166.93299718842368,2.5055776892430277,2.489243027888446,2.5446215139442234
7691909,6.0,624,4,3,505,26,19.423076923076923,21.251978658884383,146.3409520557371,2.6954455445544556,2.6877227722772274,2.7388118811881186
7795968,6.0,252,1,1,188,4,47.0,42.625095416538436,118.98250970108695,1.6372340425531915,1.6367021276595743,1.6409574468085106
7797310,6.0,601,1,0,601,56,10.732142857142858,9.425994745230678,72.03065745347301,6.323793677204659,6.144758735440932,6.369384359400998
7799046,6.0,454,2,1,422,10,42.2,43.83951302305029,176.9126531680886,2.361611374407583,2.355924170616114,2.950947867298578
7799135,6.0,329,2,1,293,7,41.857142857142854,44.209664147074704,148.05909448897148,1.6088737201365186,1.5716723549488054,1.997952218430034
7799180,6.0,645,8,7,398,22,18.09090909090909,20.94544838794827,107.18707787139023,1.8844221105527639,1.8695979899497488,1.9258793969849246
7799209,6.0,525,2,1,493,12,41.083333333333336,30.447696383881613,102.82318924550097,2.739350912778905,2.667139959432049,2.7496957403651114
