trajectory,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
5771585,2.5,720,6,5,505,39,12.948717948717949,4.923672237558874,23.13012201535393,5.167128712871287,4.610891089108911,5.532079207920792
5771621,2.5,675,6,5,471,54,8.722222222222221,1.7769555806106034,14.1461695990173,3.2295116772823778,3.224203821656051,3.7012738853503184
5772092,2.5,729,8,7,376,36,10.444444444444445,2.8194911550083424,16.933845348448745,2.352925531914894,2.346276595744681,2.353723404255319
5772102,2.5,725,4,4,557,43,12.953488372093023,4.666962043605641,69.54138496016861,6.003231597845602,5.346499102333932,6.801436265709157
5772192,2.5,706,5,5,492,46,10.695652173913043,3.590097909179227,44.630198518034604,6.7733739837398375,6.734756097560975,6.779065040650407
5874746,2.5,729,5,4,509,23,22.130434782608695,7.572124174237185,42.65718618192675,4.19056974459725,3.4846758349705307,4.341060903732809
5874767,2.5,1278,8,7,490,40,12.25,2.5250968023851854,17.556782534127738,2.723265306122449,2.709591836734694,2.7242857142857146
5874769,2.5,649,6,7,306,24,12.75,3.8231301959600548,24.733206249240123,2.888235294117647,2.4052287581699345,2.9872549019607844
5874787,2.5,1064,7,7,382,35,10.914285714285715,2.7600599732248927,12.802240618237976,5.500523560209424,5.476701570680628,5.516753926701571
5875173,2.5,712,5,5,459,30,15.3,1.8992800480633556,27.343787125849335,4.283442265795207,2.972113289760349,4.487581699346405
5882173,2.5,665,7,7,347,19,18.263157894736842,26.64997151287552,145.4228513306255,1.172334293948127,0.999135446685879,1.6795389048991354
5969330,2.5,721,6,6,465,45,10.333333333333334,5.662647738829168,35.860939604911756,5.224731182795699,5.22236559139785,5.271612903225807
5969331,2.5,706,7,6,437,45,9.71111111111111,2.6801080605143457,19.589854736631985,2.877574370709382,2.8242562929061785,2.994050343249428
5969362,2.5,672,4,4,474,45,10.533333333333333,3.5601366789328774,21.848493700097357,6.328481012658227,5.525738396624472,8.14409282700422
6058407,2.5,696,6,5,490,49,10.0,6.2641114861173195,58.76374618485539,7.3067346938775515,7.23530612244898,7.357755102040817
6062407,2.5,666,6,5,431,31,13.903225806451612,4.466172152745712,26.26600611923948,5.3150812064965205,5.306032482598608,5.4361948955916475
6109129,2.5,721,4,3,585,47,12.446808510638299,8.313913293373897,70.11514565635134,4.082393162393162,4.012991452991453,4.276239316239316
6148097,2.5,725,7,8,335,38,8.81578947368421,6.7465843492885265,48.93871706005527,2.702388059701492,2.642089552238806,2.711044776119403
6148143,2.5,677,2,1,645,62,10.403225806451612,3.566983100787419,41.5076768389118,6.076899224806201,5.39968992248062,6.573333333333333
6148208,2.5,646,6,5,437,38,11.5,4.855886690674993,50.88540586988174,2.9757437070938217,2.9729977116704807,2.996338672768879
6190357,2.5,710,5,5,444,33,13.454545454545455,10.828289307239103,83.60482573197524,4.081756756756756,3.9416666666666664,4.842567567567567
