trajectory,strategy,n_stops,n_stop_points,avg_sed_m,max_sed_m,p95_sed_m,latency_us_per_stop,latency_us_per_point,latency_p25_us_per_point,latency_p75_us_per_point
4652239,centroid,4,169,2.3196541749475026,14.263324303854185,8.706721587154354,10.1,0.23905325443786982,0.23846153846153845,0.24023668639053256
4652239,medoid,4,169,2.268883447333944,14.459217125191506,8.669800582936496,458.925,10.862130177514793,10.531952662721894,11.053846153846154
4652239,snap_to_nearest,4,169,2.294482050594015,14.397160501612097,8.669800582936496,24.45,0.578698224852071,0.5633136094674557,0.7272189349112427
4652239,first_point,4,169,9.171876823161949,25.15436641733715,17.16734060042916,1.9,0.04497041420118343,0.04378698224852071,0.045562130177514794
4660369,centroid,2,117,3.6789431882873287,13.368127006422965,8.6243249321781,6.6,0.11282051282051281,0.11282051282051281,0.11282051282051281
4660369,medoid,2,117,3.6385372044728883,13.565274578091762,8.745332980637622,816.35,13.954700854700855,13.677777777777777,14.353846153846154
4660369,snap_to_nearest,2,117,3.68709855726309,13.565274578091762,8.53780226170495,25.3,0.4324786324786325,0.33247863247863246,0.48547008547008547
4660369,first_point,2,117,11.990763798173669,25.30606512335588,16.31209874037078,2.05,0.03504273504273504,0.03333333333333333,0.041025641025641026
4748312,centroid,4,189,2.3566019214514253,13.772291003220726,9.349049030270514,6.0,0.12698412698412698,0.12328042328042328,0.12962962962962962
4748312,medoid,4,189,2.331153938303753,13.731023126366734,9.296793573193353,609.225,12.893650793650794,12.772486772486772,15.33015873015873
4748312,snap_to_nearest,4,189,2.332346316344095,13.773374133612057,9.321226386349684,32.075,0.6788359788359789,0.37671957671957673,0.6814814814814816
4748312,first_point,4,189,11.168098562037168,25.5381495353754,18.03318672668717,2.2,0.04656084656084657,0.04603174603174603,0.04708994708994709
4748313,centroid,2,305,2.4911239204973548,16.248446313404735,6.427604881433513,10.7,0.07016393442622951,0.06950819672131148,0.07081967213114755
4748313,medoid,2,305,2.402287559390422,15.880733087531384,7.226805627324665,8720.4,57.18295081967213,52.720327868852465,61.665901639344256
4748313,snap_to_nearest,2,305,2.429952575641523,15.661437360592242,6.812796035365968,44.0,0.28852459016393445,0.2859016393442623,0.29508196721311475
4748313,first_point,2,305,15.083885089856716,31.08983683780572,18.51829834365448,1.8,0.01180327868852459,0.011475409836065573,0.012459016393442622
4779685,centroid,4,264,3.1822736954411117,17.239878269769367,10.298683523857699,6.55,0.09924242424242424,0.0981060606060606,0.09999999999999999
4779685,medoid,4,264,3.0507006192006973,16.825262903126074,10.639946268819044,1534.625,23.251893939393938,19.621969696969696,26.772348484848482
4779685,snap_to_nearest,4,264,3.124887177986187,17.232040958590147,10.600625917338325,44.275,0.6708333333333333,0.668939393939394,0.6784090909090909
4779685,first_point,4,264,13.316292519311196,33.10306866844526,22.518782319758916,1.85,0.02803030303030303,0.02803030303030303,0.029166666666666667
4792372,centroid,3,154,3.2189273067830113,14.515358939458126,9.227315735095843,6.266666666666667,0.12207792207792208,0.12077922077922079,0.12272727272727271
4792372,medoid,3,154,3.016508623116059,13.672189653659343,9.906918840801117,735.7333333333332,14.33246753246753,14.22987012987013,16.162987012987013
4792372,snap_to_nearest,3,154,3.1512151886724333,14.243126386165946,9.45236594855977,19.933333333333334,0.3883116883116883,0.34935064935064936,0.4448051948051948
4792372,first_point,3,154,11.59826616372737,25.84319976006314,21.608474967435363,2.0,0.03896103896103896,0.03896103896103896,0.03896103896103896
4793806,centroid,3,168,3.0231493379966143,15.178067063305729,10.532121166593246,6.766666666666667,0.12083333333333333,0.11964285714285715,0.12142857142857141
4793806,medoid,3,168,2.9302946499901155,14.780033862540058,10.610656243649544,830.8,14.835714285714285,14.52857142857143,15.041666666666666
4793806,snap_to_nearest,3,168,2.967287469566055,14.957120119282214,10.710885380110604,17.133333333333333,0.3059523809523809,0.3053571428571428,0.3083333333333333
4793806,first_point,3,168,13.276292629497888,28.75205424999254,19.687284830108258,1.6999999999999997,0.030357142857142853,0.029166666666666667,0.030952380952380953
4798549,centroid,4,214,2.3676124827241085,14.43674353485927,9.195980774470089,5.925,0.11074766355140186,0.1102803738317757,0.11355140186915888
4798549,medoid,4,214,2.264093409564963,15.018680737725765,8.496544480418036,755.925,14.129439252336448,13.900934579439253,14.244392523364487
4798549,snap_to_nearest,4,214,2.3586185168202864,14.26544171053955,9.256445777883528,17.625,0.3294392523364486,0.32570093457943927,0.3299065420560747
4798549,first_point,4,214,12.022122148032201,27.9437620482464,16.89680290048267,1.7499999999999998,0.03271028037383177,0.03271028037383177,0.03317757009345794
4944723,centroid,5,358,5.994885082885006,23.897700328947778,14.762978383090797,7.4799999999999995,0.10446927374301676,0.10307262569832402,0.10614525139664804
4944723,medoid,5,358,5.959672612367246,28.402677567944615,17.48527335573813,1721.4199999999998,24.04217877094972,22.9695530726257,25.795251396648048
4944723,snap_to_nearest,5,358,6.064806191799069,25.04862489033019,15.32654899466263,24.8,0.3463687150837989,0.3446927374301676,0.3483240223463687
4944723,first_point,5,358,13.752372686926993,47.25642122980799,36.21381514116957,1.88,0.026256983240223464,0.026256983240223464,0.026815642458100558
4981908,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
4981908,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
4981908,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
4981908,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
5084249,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
5084249,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
5084249,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
5084249,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
5133027,centroid,4,233,2.6103707332825827,14.809624682859106,11.098301711638413,6.2,0.10643776824034334,0.10515021459227468,0.10686695278969957
5133027,medoid,4,233,2.4540706866680666,14.17088912590727,11.50517549767843,913.125,15.67596566523605,15.228755364806867,17.046781115879828
5133027,snap_to_nearest,4,233,2.5726758897347954,14.46857600441088,11.332046742563591,17.875,0.30686695278969955,0.3055793991416309,0.3081545064377682
5133027,first_point,4,233,11.993387150876732,28.04249430524416,20.982675607173398,1.675,0.028755364806866954,0.028755364806866954,0.029184549356223177
5285957,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
5285957,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
5285957,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
5285957,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
